,0
1689,IL12RB1
1690,ABL1
1691,ACOT7
1692,SH3GLB1
1693,CDC7
1694,SYDE2
1695,PCSK5
1696,SCD
1697,TMED1
1698,ABLIM1
1699,ERMP1
1700,RAB18
1701,NRP1
1702,HSD17B7P2
1703,PRTFDC1
1704,PALMD
1705,TSPAN15
1706,H2AFY2
1707,MAST3
1708,MZF1
1709,OCEL1
1710,MYO9B
1711,KCNK6
1712,PSMD8
1713,FBXL19
1714,STX1B
1715,HSD3B7
1716,SETD1A
1717,BCL7C
1718,EFNA2
1719,CIRBP
1720,ATP5D
1721,PRKY
1722,IGFALS
1723,MARCH2
1724,NDUFB7
1725,TIMM13
1726,CDC34
1727,MTAP
1728,POLR2E
1729,POLRMT
1730,HCN2
1731,RASSF7
1732,GADD45B
1733,PALM
1734,MADCAM1
1735,MKNK2
1736,RANBP1
1737,KLHL22
1738,MED15
1739,SERPIND1
1740,SNAP29
1741,CRKL
1742,LZTR1
1743,MMP11
1744,CECR2
1745,SMARCB1
1746,DERL3
1747,SLC7A4
1748,BCL2L13
1749,OSM
1750,CABIN1
1751,TBC1D10A
1752,SUSD2
1753,SF3A1
1754,RNF215
1755,SEC14L2
1756,PPIL2
1757,UPB1
1758,SNRPD3
1759,PES1
1760,MAPK1
1761,GGT1
1762,PRODH
1763,PPM1F
1764,SLC35E4
1765,TOP3B
1766,CRYBB3
1767,MFNG
1768,CARD10
1769,LRP5L
1770,SLC25A1
1771,LGALS2
1772,GGA1
1773,HIRA
1774,SH3BP1
1775,SEZ6L
1776,LGALS1
1777,HPS4
1778,PIK3IP1
1779,PATZ1
1780,TRIOBP
1781,TFIP11
1782,GCAT
1783,CRYBB1
1784,ANKRD54
1785,MICALL1
1786,POLR2F
1787,SOX10
1788,CCDC134
1789,DEPDC5
1790,PICK1
1791,TTC28
1792,SLC16A8
1793,SEPT3
1794,SLC5A1
1795,SLC5A4
1796,KDELR3
1797,CYP2D6
1798,DDX17
1799,DMC1
1800,TCF20
1801,HSCB
1802,CBY1
1803,TOMM22
1804,XBP1
1805,JOSD1
1806,FBXO7
1807,GTPBP1
1808,POLDIP3
1809,RAB36
1810,TIMP3
1811,SBF1
1812,CYB5R3
1813,DNAL4
1814,C22orf31
1815,MIOX
1816,RHBDD3
1817,PACSIN2
1818,TTLL1
1819,RASL10A
1820,AP1B1
1821,TOM1
1822,NEFH
1823,BIK
1824,HMOX1
1825,MCAT
1826,THOC5
1827,MCM5
1828,APOBEC3H
1829,ARSA
1830,TSPO
1831,RASD2
1832,TTLL12
1833,CBX7
1834,PDGFB
1835,ACR
1836,CABP7
1837,RPL3
1838,ZMAT5
1839,SYNGR1
1840,ASCC2
1841,MTMR3
1842,APOL4
1843,APOL1
1844,PNPLA3
1845,MYH9
1846,CACNA1I
1847,SAMM50
1848,TXN2
1849,FOXRED2
1850,GRAP2
1851,EIF3D
1852,TNRC6B
1853,SGSM3
1854,PVALB
1855,NCF4
1856,CSF2RB
1857,SLC25A17
1858,UPK3A
1859,FAM118A
1860,KCTD17
1861,ST13
1862,IL2RB
1863,EP300
1864,L3MBTL2
1865,RANGAP1
1866,ZC3H7B
1867,PHF5A
1868,POLR3H
1869,TRMU
1870,PMM1
1871,CERK
1872,BRD1
1873,ZBED4
1874,MLC1
1875,HDAC10
1876,KCNK10
1877,ABHD4
1878,FKBP3
1879,CTSG
1880,GZMH
1881,GZMB
1882,RBM23
1883,PRMT5
1884,COCH
1885,AP4S1
1886,POLE2
1887,SOS2
1888,CDKL1
1889,NIN
1890,PYGL
1891,TRIM9
1892,PSMC6
1893,GNPNAT1
1894,DDHD1
1895,CDKN3
1896,CGRRF1
1897,ATP6V1D
1898,C14orf105
1899,PLEK2
1900,PIGH
1901,PSMA3
1902,TIMM9
1903,GSTZ1
1904,KIAA0586
1905,AHSA1
1906,DAAM1
1907,RIN3
1908,LGMN
1909,ALKBH1
1910,SNW1
1911,CHGA
1912,ITPK1
1913,DHRS7
1914,PPM1A
1915,SIX4
1916,ASB2
1917,ERH
1918,HIF1A
1919,SLC10A1
1920,EIF5
1921,SLC8A3
1922,DICER1
1923,ZFYVE21
1924,MTHFD1
1925,ZC3H14
1926,TELO2
1927,BDKRB1
1928,VRK1
1929,PSMC1
1930,PAPLN
1931,RPS6KA5
1932,C14orf93
1933,PSMB5
1934,YY1
1935,ACIN1
1936,CCNB1IP1
1937,TRIP11
1938,APEX1
1939,PABPN1
1940,EFS
1941,ARHGAP5
1942,CINP
1943,DHRS2
1944,SRP54
1945,CPNE6
1946,CHD8
1947,KIAA0391
1948,PSMA6
1949,NFKBIA
1950,PSME2
1951,BRMS1L
1952,REC8
1953,TM9SF1
1954,SEC23A
1955,GMPR2
1956,PNN
1957,RABGGTA
1958,PLTP
1959,GSS
1960,MMP9
1961,TRPC4AP
1962,PYGB
1963,ABHD12
1964,PROCR
1965,GINS1
1966,CD40
1967,ZMYND8
1968,SGK2
1969,IFT52
1970,MYBL2
1971,NDRG3
1972,SLA2
1973,C20orf24
1974,NFATC2
1975,RIMS4
1976,STK4
1977,ADNP
1978,PFDN4
1979,DOK5
1980,CSTF1
1981,BMP7
1982,RAE1
1983,TPD52L2
1984,DNAJC5
1985,CTSZ
1986,PRPF6
1987,TUBB1
1988,PSMA7
1989,SLCO4A1
1990,NTSR1
1991,TCFL5
1992,DIDO1
1993,BIRC7
1994,ARFGAP1
1995,EEF1A2
1996,PTK6
1997,GMEB2
1998,C20orf27
1999,SPEF1
2000,CDC25B
2001,RNF24
2002,ARFRP1
2003,TRIB3
2004,RASSF2
2005,CSNK2A1
2006,CDS2
2007,HM13
2008,SNPH
2009,MYLK2
2010,SIRPB1
2011,SEC23B
2012,MYL9
2013,HCK
2014,TM9SF4
2015,CRNKL1
2016,POFUT1
2017,SAMHD1
2018,KIF3B
2019,MANBAL
2020,IDH3B
2021,MAPRE1
2022,JAG1
2023,CDK5RAP1
2024,SNTA1
2025,E2F1
2026,PXMP4
2027,CHMP4B
2028,BPI
2029,CST3
2030,CST4
2031,ACTR5
2032,WFDC2
2033,AHCY
2034,PPP1R16B
2035,FAM83D
2036,DHX35
2037,DNTTIP1
2038,MAP1LC3A
2039,PIGU
2040,ACOT8
2041,ZNF516
2042,CDH20
2043,ADNP2
2044,USP14
2045,VAPA
2046,METTL4
2047,LPIN2
2048,SMCHD1
2049,MYOM1
2050,CEP76
2051,ST8SIA5
2052,CEP192
2053,RNMT
2054,SMAD7
2055,LIPG
2056,LAMA1
2057,RNF125
2058,ANKRD12
2059,POLI
2060,MIB1
2061,RBBP8
2062,RIOK3
2063,CSTF2
2064,MXRA5
2065,VSIG1
2066,PSMD10
2067,ATG4A
2068,STS
2069,TBL1X
2070,GPR143
2071,PGRMC1
2072,POLA1
2073,MID1
2074,NKAP
2075,RHOXF1
2076,NXT2
2077,ALG13
2078,PRPS2
2079,TLR8
2080,MOSPD1
2081,AMMECR1
2082,CHRDL1
2083,WDR13
2084,SUV39H1
2085,SRPX
2086,GLRA2
2087,STAG2
2088,ATP11C
2089,MCF2
2090,ABCD1
2091,CCDC22
2092,CACNA1F
2093,SYP
2094,PLP2
2095,BMX
2096,PLS3
2097,RENBP
2098,ELF4
2099,SMARCA1
2100,MTMR8
2101,ASB9
2102,RBBP7
2103,KCND1
2104,SLC25A14
2105,FMR1
2106,PIM2
2107,SCML2
2108,SLC35A2
2109,PQBP1
2110,RS1
2111,PCSK1N
2112,TAZ
2113,PGK1
2114,GATA1
2115,SMS
2116,PHEX
2117,UBL4A
2118,CD99L2
2119,EEA1
2120,RP2
2121,USP11
2122,PCYT1B
2123,HTATSF1
2124,VGLL1
2125,CD40LG
2126,TIMP1
2127,KLHL4
2128,GABRE
2129,PCDH11X
2130,FGD1
2131,PIN4
2132,PORCN
2133,MAGED2
2134,RBM3
2135,KLF8
2136,SRPX2
2137,SYTL4
2138,ZDHHC15
2139,CENPI
2140,DRP2
2141,TAF7L
2142,GLA
2143,ARMCX3
2144,BEX4
2145,NALCN
2146,FGF14
2147,HTR2A
2148,NDFIP2
2149,TNFSF13B
2150,FNDC3A
2151,CDADC1
2152,CAB39L
2153,KLF5
2154,STK24
2155,ACP5
2156,DNAJC3
2157,ARHGEF7
2158,FGF9
2159,SGCG
2160,PARP4
2161,MRPS31
2162,SLC25A15
2163,KPNA3
2164,FLT1
2165,DGKH
2166,KATNAL1
2167,INTS6
2168,DHRS12
2169,TSC22D1
2170,CLN5
2171,OLFM4
2172,MSLN
2173,MGRN1
2174,ZNF629
2175,TRADD
2176,HSF4
2177,CORO1A
2178,MAPK3
2179,GDPD3
2180,ELMO3
2181,PHKB
2182,LYRM1
2183,NUTF2
2184,NUP93
2185,CENPT
2186,TSNAXIP1
2187,NFAT5
2188,LONP2
2189,N4BP1
2190,CBLN1
2191,ARL2BP
2192,PLLP
2193,ZNF423
2194,CCL22
2195,DHODH
2196,CCL17
2197,CTCF
2198,ACD
2199,POLR2C
2200,PARD6A
2201,MMP15
2202,CYB5B
2203,CCDC113
2204,NME3
2205,NDRG4
2206,PSMD7
2207,SETD6
2208,VAC14
2209,HAS3
2210,COG4
2211,SMPD3
2212,SLC7A6
2213,FA2H
2214,WDR59
2215,MON1B
2216,AXIN1
2217,HCFC1R1
2218,MLYCD
2219,MPG
2220,HSDL1
2221,TAF1C
2222,NAGPA
2223,SEC14L5
2224,COTL1
2225,USP10
2226,CRISPLD2
2227,TSC2
2228,ZNF500
2229,NME4
2230,ABCC1
2231,FOXF1
2232,NARFL
2233,MTHFSD
2234,CLCN7
2235,HAGHL
2236,SLC7A5
2237,METRN
2238,FBXO31
2239,RHBDL1
2240,NUBP1
2241,UBE2I
2242,MEFV
2243,CRYM
2244,EEF2K
2245,GSPT1
2246,ZNF174
2247,CLUAP1
2248,UBFD1
2249,PRSS33
2250,EARS2
2251,GGA2
2252,USP31
2253,HMOX2
2254,DNAJA3
2255,BFAR
2256,SALL1
2257,TOX3
2258,RBL2
2259,QPRT
2260,XYLT1
2261,PYCARD
2262,RPGRIP1L
2263,MAZ
2264,STX4
2265,CDIPT
2266,BCKDK
2267,NOMO1
2268,IL21R
2269,SYT17
2270,TMC5
2271,RNF40
2272,IQCH
2273,LACTB
2274,CORO2B
2275,CSK
2276,HERC1
2277,TRIP4
2278,MTFMT
2279,RASL12
2280,AP3B2
2281,ACSBG1
2282,RAB11A
2283,CTSH
2284,CD276
2285,FAH
2286,RPAP1
2287,HOMER2
2288,EHD4
2289,TMEM87A
2290,CEP152
2291,ATP8B4
2292,OCA2
2293,DTWD1
2294,TGM5
2295,TJP1
2296,BMF
2297,DMXL2
2298,SCG3
2299,DNAJC17
2300,EIF3J
2301,SPG11
2302,RHOV
2303,VPS18
2304,OIP5
2305,SLC30A4
2306,MYEF2
2307,SGK3
2308,PDGFRL
2309,CSPP1
2310,ZDHHC2
2311,BRF2
2312,TRIM35
2313,ZFAND1
2314,RP1
2315,CA2
2316,FZD3
2317,INTS9
2318,RIPK2
2319,EYA1
2320,NBN
2321,TRPA1
2322,DECR1
2323,CALB1
2324,IMPAD1
2325,SFRP1
2326,LAPTM4B
2327,POP1
2328,IKBKB
2329,PLAT
2330,STK3
2331,GDAP1
2332,RAB2A
2333,EIF3E
2334,WISP1
2335,NDRG1
2336,IL7
2337,STMN2
2338,ARMC1
2339,TRPS1
2340,SPAG1
2341,CHRAC1
2342,NCALD
2343,SNX16
2344,UBR5
2345,TSTA3
2346,EEF1D
2347,ANXA13
2348,SQLE
2349,SH2D4A
2350,INTS10
2351,SLC39A14
2352,MTMR9
2353,LEPROTL1
2354,DCTN6
2355,GSR
2356,TNFRSF10A
2357,PPP2CB
2358,ERICH1
2359,NEFM
2360,TUSC3
2361,ARHGEF10
2362,KLHDC4
2363,MCM4
2364,KCTD9
2365,ASAH1
2366,BNIP3L
2367,MAN2B1
2368,KCNN4
2369,TULP2
2370,NUCB1
2371,DHDH
2372,GYS1
2373,MAP4K1
2374,ECH1
2375,HNRNPL
2376,NFKBIB
2377,LHB
2378,SARS2
2379,CLPTM1
2380,RELB
2381,LIN7B
2382,FCGRT
2383,PIH1D1
2384,CKM
2385,ARHGEF18
2386,PPP1R13L
2387,PEX11G
2388,ERCC2
2389,DOT1L
2390,PLEKHJ1
2391,SLC17A7
2392,RNASEH2A
2393,KLC3
2394,CD37
2395,SF3A2
2396,AMH
2397,DKKL1
2398,LYL1
2399,OAZ1
2400,TRMT1
2401,STX10
2402,RETN
2403,FCER2
2404,DMPK
2405,TBC1D17
2406,IL4I1
2407,TLE6
2408,CCDC130
2409,PTOV1
2410,AES
2411,NOVA2
2412,SGTA
2413,LILRB1
2414,MED25
2415,LILRA1
2416,SNAPC2
2417,C19orf53
2418,TIMM44
2419,IL27RA
2420,ASF1B
2421,TNNT1
2422,VRK3
2423,FAM32A
2424,C19orf44
2425,MED26
2426,OLFM2
2427,AKAP8
2428,ILVBL
2429,ZNF419
2430,AURKC
2431,POP4
2432,CCNE1
2433,PDCD5
2434,ANKRD27
2435,RPS16
2436,TIMM50
2437,FBL
2438,DYRK1B
2439,CNTD2
2440,GPI
2441,AKT2
2442,PLD3
2443,PRX
2444,PIAS4
2445,NUMBL
2446,EBI3
2447,CCDC94
2448,SHD
2449,TBCB
2450,FSD1
2451,POLR2I
2452,CLIP3
2453,SLC1A5
2454,PRKD2
2455,TJP3
2456,APLP1
2457,CCDC9
2458,FZR1
2459,BBC3
2460,TGFB1
2461,DENND3
2462,CEACAM4
2463,MYH14
2464,MRPL4
2465,SIGLEC8
2466,CD79A
2467,ICAM4
2468,RPS19
2469,NKG7
2470,ICAM5
2471,ETFB
2472,CD33
2473,CEACAM5
2474,TYK2
2475,CDC37
2476,NAPA
2477,RABAC1
2478,ATP1A3
2479,MEIS3
2480,PTPRS
2481,CNFN
2482,MEGF8
2483,KDELR1
2484,GRWD1
2485,GRIN2D
2486,SYNGR4
2487,CLEC11A
2488,CCDC114
2489,CARD8
2490,LIG1
2491,SIGLEC6
2492,ZNF175
2493,PLA2G4C
2494,SIGLEC5
2495,HAS1
2496,RAB3D
2497,DBP
2498,CAPS
2499,FAM83E
2500,RASIP1
2501,BCAT2
2502,MIER2
2503,PLEKHA4
2504,PPP2R1A
2505,TNPO2
2506,GCDH
2507,LILRB5
2508,KLF1
2509,DNASE2
2510,MAST1
2511,LENG1
2512,PRPF31
2513,TFPT
2514,JAK3
2515,RPL18A
2516,SLC5A5
2517,KCNN1
2518,ARRDC2
2519,PIK3R2
2520,RAB3A
2521,PDE4C
2522,ISYNA1
2523,ELL
2524,CRTC1
2525,COMP
2526,UPK1A
2527,COPE
2528,DDX49
2529,ARMC6
2530,TMEM147
2531,GAPDHS
2532,MAG
2533,TMEM59L
2534,HAMP
2535,USF2
2536,LSR
2537,FKBP8
2538,HPN
2539,ZNF14
2540,SCN1B
2541,PBX4
2542,ERF
2543,GSK3A
2544,ATP13A1
2545,ZNF574
2546,GRIK5
2547,SIPA1L3
2548,ZNF85
2549,ETHE1
2550,CADM4
2551,RUNDC3B
2552,GTPBP10
2553,RASA4
2554,CDK6
2555,PMPCB
2556,TFPI2
2557,BET1
2558,TWISTNB
2559,PIK3CG
2560,PON3
2561,PON2
2562,ITGB8
2563,HBP1
2564,DUS4L
2565,SP4
2566,WDR91
2567,DNAH11
2568,PTN
2569,MPP6
2570,DFNA5
2571,ATP6V0A4
2572,ZC3HAV1
2573,TTC26
2574,OGDH
2575,TFEC
2576,H2AFV
2577,CAV2
2578,CAV1
2579,MET
2580,RNF32
2581,LMBR1
2582,WNT2
2583,HOXA1
2584,DNAJB6
2585,HOXA2
2586,HOXA3
2587,LFNG
2588,HOXA5
2589,HOXA6
2590,IQCE
2591,VIPR2
2592,TSPAN12
2593,HOXA13
2594,HIBADH
2595,TAX1BP1
2596,CPVL
2597,CHN2
2598,GRB10
2599,ABHD11
2600,COBL
2601,FKBP14
2602,PLEKHA8
2603,STX1A
2604,NOD1
2605,GARS
2606,EPHB6
2607,CASP2
2608,CHCHD2
2609,CCL24
2610,HSPB1
2611,NPTX2
2612,PDAP1
2613,BUD31
2614,PTCD1
2615,CYP3A5
2616,ZKSCAN1
2617,EIF3B
2618,SNX8
2619,NUDT1
2620,PTPRZ1
2621,WASL
2622,TFR2
2623,FSCN3
2624,MOSPD3
2625,PCOLCE
2626,FBXO24
2627,RBM28
2628,USP42
2629,IMPDH1
2630,LSM5
2631,SERPINE1
2632,AP1S1
2633,C1GALT1
2634,PLOD3
2635,RPA3
2636,ZNHIT1
2637,CLDN15
2638,GLCCI1
2639,PHF14
2640,NRF1
2641,TMEM106B
2642,EZH2
2643,SFRP4
2644,MEST
2645,MEOX2
2646,ANKMY2
2647,POU6F2
2648,TSPAN13
2649,RARRES2
2650,AGR2
2651,AHR
2652,CHCHD3
2653,GIMAP2
2654,TMEM176B
2655,GLI3
2656,PSMA2
2657,MRPL32
2658,BLVRA
2659,RHEB
2660,PRKAG2
2661,AEBP1
2662,POLD2
2663,GCK
2664,BCL7B
2665,YKT6
2666,TBL2
2667,CLIP2
2668,EIF4H
2669,LIMK1
2670,SLC1A1
2671,LHX2
2672,FSD1L
2673,CNTNAP3
2674,SPIN1
2675,PRUNE2
2676,MEGF9
2677,TRIM14
2678,CORO2A
2679,TGFBR1
2680,SEC61B
2681,C5
2682,OGN
2683,ASPN
2684,ECM2
2685,TLE4
2686,LHX6
2687,SUSD1
2688,AMBP
2689,AKNA
2690,TNFSF8
2691,DNM1
2692,ENG
2693,AK1
2694,CDC37L1
2695,RLN2
2696,RLN1
2697,TBC1D13
2698,DOCK8
2699,ELAVL2
2700,TESK1
2701,KCNT1
2702,CA9
2703,FUBP3
2704,TYRP1
2705,CREB3
2706,MPDZ
2707,DDX58
2708,EDF1
2709,PIP5K1B
2710,GLIS3
2711,BAG1
2712,NPDC1
2713,APBA1
2714,SETX
2715,SH3GL2
2716,PTGDS
2717,ABCA2
2718,SHB
2719,UBE2R2
2720,EXOSC3
2721,ZFAND5
2722,DVL1
2723,PDLIM1
2724,CCNJ
2725,GATA3
2726,ATRNL1
2727,HPS1
2728,PHYH
2729,RASSF4
2730,DNMBP
2731,RAB11FIP2
2732,CXCL12
2733,ERLIN1
2734,EIF3A
2735,PKD2L1
2736,CUBN
2737,TRDMT1
2738,DDX50
2739,MAPK8
2740,SEC23IP
2741,ATE1
2742,NSMCE4A
2743,PLEKHA1
2744,UNC5B
2745,CDH23
2746,SPOCK2
2747,PPP3CB
2748,BMPR1A
2749,MINPP1
2750,ACTA2
2751,LIPA
2752,LZTS2
2753,SFXN3
2754,KAZALD1
2755,FBXW4
2756,NPM3
2757,TNKS2
2758,GBF1
2759,ARHGAP21
2760,CPEB3
2761,FBXL15
2762,CUEDC2
2763,SUFU
2764,ANKRD26
2765,ACBD5
2766,LHPP
2767,GTPBP4
2768,BCCIP
2769,SH3PXD2A
2770,PITRM1
2771,MAP3K8
2772,DKK1
2773,EBF3
2774,GLRX3
2775,SORCS1
2776,XPNPEP1
2777,SMC3
2778,SHOC2
2779,TFAM
2780,CCDC6
2781,CUL2
2782,UBE2S
2783,RPL28
2784,ZMIZ1
2785,DNAJC12
2786,PPIF
2787,PBLD
2788,TSPAN14
2789,TBC1D12
2790,KRT23
2791,NUFIP2
2792,GIT1
2793,RPL19
2794,FBXL20
2795,RUNDC3A
2796,UBTF
2797,CSF3
2798,PSMD3
2799,CASC3
2800,RAPGEFL1
2801,RGS9
2802,RNF43
2803,WNT3
2804,ASPA
2805,RAD51C
2806,SEPT4
2807,MTMR4
2808,TRIM37
2809,P2RX1
2810,DHX40
2811,TUBD1
2812,KPNB1
2813,GOSR2
2814,PNPO
2815,RPS6KB1
2816,TRIM16L
2817,CBX1
2818,RECQL5
2819,PIGL
2820,GALK1
2821,INTS2
2822,CAMTA2
2823,MED13
2824,HOXB6
2825,ENO3
2826,PFN1
2827,RNF167
2828,SLC25A11
2829,RASD1
2830,CHRNE
2831,RAI1
2832,NUP88
2833,C1QBP
2834,SLC6A4
2835,BLMH
2836,CPD
2837,GOSR1
2838,CCDC47
2839,MED31
2840,DRG2
2841,FTSJ3
2842,AKAP10
2843,ALDH3A1
2844,SMARCD2
2845,ICAM2
2846,SYNGR2
2847,B9D1
2848,UTP6
2849,DDX5
2850,C17orf75
2851,PSMD11
2852,LGALS3BP
2853,CCL7
2854,CCL2
2855,CCL8
2856,PEX12
2857,DHX58
2858,RAB5C
2859,NAGLU
2860,HSD17B1
2861,MLX
2862,CNTNAP1
2863,ABI3
2864,EZH1
2865,DLX4
2866,PPP1R9B
2867,COL1A1
2868,SGCA
2869,MRPL27
2870,VAT1
2871,LRRC59
2872,RND2
2873,ALOX12
2874,HDAC5
2875,ABCC3
2876,MPP2
2877,SMURF2
2878,DUSP3
2879,EFTUD2
2880,HLF
2881,SLC16A6
2882,PRKAR1A
2883,EFNB3
2884,FAM20A
2885,YWHAE
2886,MMD
2887,RANGRF
2888,MAP2K6
2889,DHRS7B
2890,WSB1
2891,RCVRN
2892,SLC9A3R1
2893,MYH3
2894,NAT9
2895,VTN
2896,IFT20
2897,TMEM97
2898,CDR2L
2899,PMP22
2900,FOXN1
2901,UNC119
2902,ALDOC
2903,SUPT6H
2904,RAB34
2905,PHF12
2906,TMEM33
2907,GNRHR
2908,SLAIN2
2909,OCIAD1
2910,DCUN1D4
2911,USP46
2912,SULT1E1
2913,CHIC2
2914,NMU
2915,KIAA1211
2916,PF4V1
2917,NFKB1
2918,AREG
2919,MANBA
2920,UBE2D3
2921,MAPK10
2922,ELF2
2923,NDUFC1
2924,TBC1D9
2925,ZNF330
2926,INPP4B
2927,GAB1
2928,KLHL2
2929,CPE
2930,RPL34
2931,WFS1
2932,GRPEL1
2933,FRG1
2934,CLCN3
2935,AADAT
2936,GALNT7
2937,DHX15
2938,SEPSECS
2939,CPZ
2940,TRIM2
2941,SLC2A9
2942,FBXW7
2943,NEIL3
2944,TBC1D19
2945,SH3D19
2946,STIM2
2947,GLRB
2948,BST1
2949,RAPGEF2
2950,HGFAC
2951,SNX25
2952,LRP2BP
2953,KLF3
2954,KLHL5
2955,UGDH
2956,PPARGC1A
2957,CRYAB
2958,HTATIP2
2959,CTSC
2960,CCDC34
2961,ZBTB16
2962,ELP4
2963,MTCH2
2964,FNBP4
2965,TECTA
2966,CRTAM
2967,C11orf63
2968,B3GAT1
2969,HSPA8
2970,DNAJC4
2971,SIAE
2972,SNX15
2973,LPXN
2974,DTX4
2975,ATG2A
2976,EHD1
2977,OSBP
2978,UNC93B1
2979,PUS3
2980,DCPS
2981,FOXRED1
2982,NRXN2
2983,MS4A6A
2984,MS4A4A
2985,ST3GAL4
2986,CPT1A
2987,CCND1
2988,CCDC86
2989,PRPF19
2990,TMEM109
2991,CCKBR
2992,HPX
2993,TRIM3
2994,CHORDC1
2995,FOLR1
2996,FOLR3
2997,PANX1
2998,ARHGEF17
2999,CEP164
3000,RNF141
3001,EIF4G2
3002,IL10RA
3003,BIRC2
3004,UBE4A
3005,DDX6
3006,UPK2
3007,CBL
3008,HIPK3
3009,FBXO3
3010,PDHX
3011,SLC1A2
3012,COMMD9
3013,SLC15A3
3014,CD5
3015,MDK
3016,MADD
3017,PTPMT1
3018,CARS
3019,SLC22A18
3020,CD81
3021,SLC35F2
3022,C11orf21
3023,ELMOD1
3024,SOX6
3025,C11orf58
3026,RPS13
3027,AIP
3028,NUP98
3029,NDUFS8
3030,TCIRG1
3031,CHKA
3032,EXPH5
3033,HPS5
3034,GTF2H1
3035,POU2AF1
3036,PTPN5
3037,VWF
3038,PSMD9
3039,PPFIBP1
3040,CD69
3041,PRDM4
3042,CLEC2B
3043,COQ5
3044,CORO1C
3045,CAPRIN2
3046,TSPAN11
3047,KCTD10
3048,SLC11A2
3049,MVK
3050,CAMKK2
3051,BIN2
3052,IL23A
3053,ATP5B
3054,PTGES3
3055,BCL7A
3056,RSRC2
3057,CYP27B1
3058,LIN7A
3059,KRT18
3060,GLI1
3061,PPM1H
3062,METAP2
3063,LTA4H
3064,ELK3
3065,SLC6A12
3066,WNT5B
3067,TRPV4
3068,ITFG2
3069,FOXM1
3070,PRR4
3071,PRMT8
3072,PARP11
3073,ARPC3
3074,VPS29
3075,RAD51AP1
3076,SH2B3
3077,AKAP3
3078,MANSC1
3079,DUSP16
3080,CREBL2
3081,ACAD10
3082,ALDH2
3083,CDKN1B
3084,GPRC5D
3085,SCNN1A
3086,LTBR
3087,CDK2AP1
3088,OAS3
3089,OAS2
3090,MGP
3091,RASAL1
3092,ARHGDIB
3093,GTF2H3
3094,EIF2B1
3095,DDX55
3096,SLC38A1
3097,C12orf49
3098,VDR
3099,FZD10
3100,RFC5
3101,STX2
3102,COPZ1
3103,CAND1
3104,IFNG
3105,RAB5B
3106,MDM1
3107,NUP107
3108,CNOT2
3109,TIMELESS
3110,CPSF6
3111,KRR1
3112,MRPL51
3113,GAPDH
3114,CHD4
3115,ACRBP
3116,COPS7A
3117,ING4
3118,GNB3
3119,CDCA3
3120,CHPT1
3121,USP5
3122,TPI1
3123,GNPTAB
3124,SPSB2
3125,ENO2
3126,ATN1
3127,PTPN6
3128,NT5DC3
3129,NANOG
3130,SUDS3
3131,GOLT1B
3132,LDHB
3133,PRKAB1
3134,CMAS
3135,HCFC2
3136,ST8SIA1
3137,CLEC4A
3138,PHC1
3139,COX6A1
3140,RFX4
3141,RIC8B
3142,FGFR1OP2
3143,KLRB1
3144,COL12A1
3145,BTN3A3
3146,FRK
3147,DSE
3148,RWDD1
3149,MAK
3150,TMEM14C
3151,PAK1IP1
3152,GCNT2
3153,NEDD9
3154,MCM9
3155,RNGTT
3156,MAN1A1
3157,GABRR2
3158,SERINC1
3159,HDDC2
3160,TPD52L1
3161,HINT3
3162,NCOA7
3163,SASH1
3164,UST
3165,ULBP1
3166,FBXO5
3167,MTRF1L
3168,PPARD
3169,FANCE
3170,TULP1
3171,SLC26A8
3172,MAPK14
3173,KCTD20
3174,STK38
3175,SOD2
3176,MRPL18
3177,MCM3
3178,RNF8
3179,PHACTR1
3180,MDGA1
3181,ICK
3182,FBXO9
3183,CD83
3184,MDN1
3185,BACH2
3186,CAP2
3187,TREML2
3188,ZNF451
3189,BAG2
3190,RAB23
3191,FHL5
3192,GPR63
3193,KHDRBS2
3194,FBXL4
3195,CCNC
3196,E2F3
3197,PTP4A1
3198,ASCC3
3199,BVES
3200,COL9A1
3201,MED23
3202,WASF1
3203,GPLD1
3204,ALDH5A1
3205,VNN1
3206,VNN2
3207,C6orf62
3208,GMNN
3209,EYA4
3210,SOBP
3211,SNX3
3212,HBS1L
3213,TRIM38
3214,PEX7
3215,ZBTB24
3216,FIG4
3217,PERP
3218,SLC16A10
3219,HECA
3220,PHACTR2
3221,EPM2A
3222,SLC39A7
3223,CCR6
3224,UNC93A
3225,PHF1
3226,CUTA
3227,PACRG
3228,QKI
3229,C6orf118
3230,PDE10A
3231,MDFI
3232,TFEB
3233,SMOC2
3234,CCND3
3235,BYSL
3236,FAM120B
3237,GUCA1B
3238,PRPH2
3239,PPP2R5D
3240,MRPL2
3241,PTK7
3242,SRF
3243,DUSP22
3244,EXOC2
3245,COX7A2
3246,TMEM30A
3247,GMDS
3248,SENP6
3249,IMPG1
3250,VEGFA
3251,PRPF4B
3252,TTK
3253,SLC29A1
3254,WISP3
3255,BTN2A1
3256,LAMA4
3257,FAM46A
3258,CLIC5
3259,ENPP5
3260,LY86
3261,PRSS16
3262,TBX18
3263,PCDHB2
3264,HARS2
3265,NUDT12
3266,CEP72
3267,MAN2A1
3268,SEMA5A
3269,C7
3270,GHR
3271,HMGCS1
3272,DAP
3273,NME5
3274,BRD8
3275,KIF20A
3276,MRPS30
3277,HSPA9
3278,MRPS27
3279,PFDN1
3280,HBEGF
3281,SLC4A9
3282,LOX
